InstrumentID,ExchTime,OpenPrice,HighPrice,LowPrice,ClosePrice,SettlementPrice,OpenInterest,Turnover,Volume,adjustor
RO709,2007-06-08,10380,10500,8932,8940,9134,9689,272538.445,59682,1.0
RO709,2007-06-11,8910,8988,8768,8768,8884,12571,111189.74,25033,1.0
RO709,2007-06-12,8716,8750,8582,8666,8688,15036,185620.755,42730,1.0
RO709,2007-06-13,8700,8770,8450,8502,8580,18832,280655.185,65432,1.0
RO709,2007-06-14,8580,8618,8512,8566,8566,16430,230233.68,53755,1.0
RO709,2007-06-15,8600,8646,8558,8612,8608,15220,150180.515,34897,1.0
RO709,2007-06-18,8748,8768,8670,8748,8726,14906,110398.995,25303,1.0
RO709,2007-06-19,8702,8708,8618,8652,8662,13440,79672.245,18395,1.0
RO709,2007-06-20,8516,8604,8516,8592,8574,13212,41068.82,9581,1.0
RO709,2007-06-21,8592,8628,8572,8586,8592,13061,19900.25,4633,1.0
RO709,2007-06-22,8538,8568,8520,8562,8554,13241,22758.41,5321,1.0
RO709,2007-06-25,8526,8586,8520,8576,8568,12931,24245.465,5660,1.0
RO709,2007-06-26,8580,8598,8504,8524,8542,12531,30289.665,7093,1.0
RO709,2007-06-27,8532,8548,8342,8416,8408,14792,94067.77,22379,1.0
RO709,2007-06-28,8406,8466,8406,8458,8448,12626,36563.355,8657,1.0
RO709,2007-06-29,8510,8592,8462,8578,8546,10650,46662.73,10921,1.0
RO709,2007-07-02,8700,8886,8576,8774,8766,7790,107415.36,24511,1.0
RO709,2007-07-03,8770,8770,8720,8726,8742,6687,29866.675,6833,1.0
RO709,2007-07-04,8672,8770,8650,8762,8712,7207,33523.48,7696,1.0
RO709,2007-07-05,8768,8820,8738,8748,8776,6888,41746.245,9515,1.0
RO709,2007-07-06,8740,8836,8730,8832,8798,7066,40374.015,9179,1.0
RO709,2007-07-09,8828,8868,8790,8804,8826,6026,34658.74,7855,1.0
RO709,2007-07-10,8832,8838,8736,8750,8788,5221,21205.33,4826,1.0
RO709,2007-07-11,8800,8850,8772,8836,8812,5185,25563.045,5802,1.0
RO709,2007-07-12,8830,8912,8824,8896,8886,5761,36037.79,8112,1.0
RO709,2007-07-13,8910,8944,8854,8872,8894,5215,20185.73,4539,1.0
RO709,2007-07-16,8790,8822,8760,8816,8792,4581,11930.525,2714,1.0
RO709,2007-07-17,8700,8832,8700,8822,8800,4329,11517.365,2618,1.0
RO709,2007-07-18,8800,8876,8800,8870,8858,4294,8193.27,1850,1.0
RO709,2007-07-19,8870,8900,8834,8842,8858,4062,6629.695,1497,1.0
RO709,2007-07-20,8850,8898,8842,8870,8876,4060,9043.8,2038,1.0
RO709,2007-07-23,8820,8890,8820,8860,8872,3658,5034.595,1135,1.0
RO709,2007-07-24,8852,8870,8840,8862,8856,3650,2608.235,589,1.0
RO709,2007-07-25,8870,8890,8862,8886,8878,3525,2410.085,543,1.0
RO709,2007-07-26,8898,8900,8874,8900,8890,3496,3138.275,706,1.0
RO709,2007-07-27,8890,9074,8888,9020,9008,5278,22451.63,4985,1.0
RO709,2007-07-30,9040,9248,9040,9206,9154,5301,31077.22,6790,1.0
RO709,2007-07-31,9250,9268,9166,9188,9206,5182,20695.03,4496,1.0
RO709,2007-08-01,9254,9254,9122,9150,9184,4840,7190.34,1566,1.0
RO709,2007-08-02,9154,9218,9140,9174,9186,4672,4808.205,1047,1.0
RO709,2007-08-03,9166,9194,9132,9140,9144,4694,6515.415,1425,1.0
RO709,2007-08-06,9100,9178,9100,9132,9146,4749,7133.545,1560,1.0
RO709,2007-08-07,9104,9158,9102,9126,9132,4518,2259.925,495,1.0
RO709,2007-08-08,9148,9220,9148,9170,9184,4635,6846.085,1491,1.0
RO709,2007-08-09,9248,9248,9136,9180,9168,5196,9388.015,2048,1.0
RO709,2007-08-10,9060,9180,9058,9180,9140,4866,2933.97,642,1.0
RO801,2007-08-13,9312,9390,9302,9368,9362,4558,7377.245,1576,0.9860365198711063
RO801,2007-08-14,9350,9350,9280,9304,9310,4584,9411.02,2022,0.9860365198711063
RO801,2007-08-15,9260,9276,9224,9246,9248,4658,4609.55,997,0.9860365198711063
RO801,2007-08-16,9212,9228,9102,9124,9152,4943,9009.28,1969,0.9860365198711063
RO801,2007-08-17,8854,9050,8832,8874,8918,5227,14305.15,3208,0.9860365198711063
RO801,2007-08-20,8978,9146,8966,9138,9098,5525,13171.785,2896,0.9860365198711063
RO801,2007-08-21,9246,9246,9100,9162,9140,5459,9441.11,2066,0.9860365198711063
RO801,2007-08-22,9124,9146,9048,9094,9090,5665,7789.57,1714,0.9860365198711063
RO801,2007-08-23,9148,9172,9120,9134,9144,5663,3127.4,684,0.9860365198711063
RO801,2007-08-24,9130,9184,9130,9160,9168,5490,2947.565,643,0.9860365198711063
RO801,2007-08-27,9130,9198,9120,9120,9156,5523,3282.12,717,0.9860365198711063
RO801,2007-08-28,9158,9160,9118,9136,9136,5260,5074.36,1111,0.9860365198711063
RO801,2007-08-29,9100,9100,8980,9002,9028,5704,9812.3,2174,0.9860365198711063
RO801,2007-08-30,9030,9152,9030,9096,9108,5689,8009.885,1759,0.9860365198711063
RO801,2007-08-31,9120,9226,9120,9184,9178,5456,5987.84,1305,0.9860365198711063
RO801,2007-09-03,9170,9186,9138,9144,9154,5138,2947.285,644,0.9860365198711063
